Age,ex,Sex,State
25,46.3,Male,Pahang
30,41.6,Male,Pahang
35,37.0,Male,Pahang
40,32.4,Male,Pahang
45,28.0,Male,Pahang
50,23.8,Male,Pahang
55,19.9,Male,Pahang
60,16.4,Male,Pahang
65,13.1,Male,Pahang
70,10.4,Male,Pahang
75,7.8,Male,Pahang
80,5.6,Male,Pahang
0,75.1,Female,Pahang
1,74.6,Female,Pahang
5,70.7,Female,Pahang
10,65.8,Female,Pahang
15,60.8,Female,Pahang
20,55.9,Female,Pahang
25,51.0,Female,Pahang
30,46.3,Female,Pahang
35,41.5,Female,Pahang
40,36.8,Female,Pahang
45,32.3,Female,Pahang
50,27.8,Female,Pahang
55,23.6,Female,Pahang
60,19.6,Female,Pahang
65,15.8,Female,Pahang
70,12.6,Female,Pahang
75,9.6,Female,Pahang
80,6.6,Female,Pahang
0,70.1,Male,Perak
1,69.6,Male,Perak
5,65.7,Male,Perak
10,60.8,Male,Perak
15,55.8,Male,Perak
20,51.1,Male,Perak
25,46.3,Male,Perak
30,41.6,Male,Perak
35,37.0,Male,Perak
40,32.4,Male,Perak
45,28.1,Male,Perak
50,24.0,Male,Perak
55,20.4,Male,Perak
60,17.1,Male,Perak
65,13.8,Male,Perak
70,10.8,Male,Perak
75,8.1,Male,Perak
80,5.7,Male,Perak
0,76.2,Female,Perak
1,75.7,Female,Perak
5,71.8,Female,Perak
10,66.8,Female,Perak
15,61.9,Female,Perak
20,56.9,Female,Perak
25,52.0,Female,Perak
30,47.2,Female,Perak
35,42.4,Female,Perak
40,37.8,Female,Perak
45,33.2,Female,Perak
50,28.7,Female,Perak
55,24.5,Female,Perak
60,20.5,Female,Perak
65,16.5,Female,Perak
70,13.0,Female,Perak
75,9.6,Female,Perak
80,6.8,Female,Perak
0,69.5,Male,Perlis
1,69.0,Male,Perlis
5,65.2,Male,Perlis
10,60.2,Male,Perlis
15,55.3,Male,Perlis
20,50.5,Male,Perlis
25,45.8,Male,Perlis
30,41.1,Male,Perlis
35,36.6,Male,Perlis
40,32.1,Male,Perlis
45,27.7,Male,Perlis
50,23.5,Male,Perlis
55,19.7,Male,Perlis
60,16.4,Male,Perlis
65,13.2,Male,Perlis
70,10.4,Male,Perlis
75,7.8,Male,Perlis
80,5.5,Male,Perlis
0,75.5,Female,Perlis
1,75.0,Female,Perlis
5,71.1,Female,Perlis
10,66.1,Female,Perlis
15,61.2,Female,Perlis
20,56.3,Female,Perlis
25,51.4,Female,Perlis
30,46.5,Female,Perlis
35,41.9,Female,Perlis
40,37.3,Female,Perlis
45,32.7,Female,Perlis
50,28.1,Female,Perlis
55,23.8,Female,Perlis
60,19.9,Female,Perlis
65,16.1,Female,Perlis
